#서울특별시
북촌 한옥마을,북촌 한옥 마을
국립중앙박물관,국립 중앙 박물 관
광화문광장,광화 문 광장
N서울타워,n 서울 타워
전쟁기념관,전쟁 기념 관
남대문시장,남 대문 시장
조선왕릉,조선 왕릉
한양도성,한양 도성
63빌딩,63 빌딩
경복궁,경복 궁
창덕궁,창덕 궁
창경궁,창경 궁
덕수궁,덕수 궁
경희궁,경희 궁
조계사,조계 사
청계천,청계 천
종묘,종묘
#부산광역시
해운대해수욕장,해운 대 하 아 수욕 장
해동용궁사,해동 용 궁사
동래읍성지,동래 읍성 하 지
자갈치시장,자갈치 시장
금정산성,금정 산성
동래향교,동래 향교
국제시장,국제 시장
범어사,범어사
충렬사,충렬 사
#대구광역시
국립대구박물관,국립 대구 박물 관
국립대구과학관,국립 대구 과학 관
대구미술관,대구 미술 관
대구수목원,대구 수목 원
계산성당,계산 성당
달성공원,달성 공원
경상감영,경상 감영
대구향교,대구 향교
서문시장,서문 시장
팔공산,팔 공산
동화사,동화 사
파계사,파계 사
성모당,성 모당
#인천광역시
고창 화순 강화 고인돌 유적,고창 화순 강화 고인돌 유적
송도 센트럴파크,송도 센트럴 파크
인천 차이나타운,인천 차이나타운
전등사,전등 사
마니산,마니 산
월미도,월미 도
광성보,광성 보
#광주광역시
국립5 18민주묘지,국립 5 18 민주 묘지
광주시립민속박물관,광주 시립 민속 박물 관
무등산 국립공원,무등 산 국립 공원
국립광주박물관,국립 광주 박물 관
증심사,증심사
#대전광역시
대전광역시립미술관,대전 광역 시 립 미술 관
엑스포과학공원,엑스포 과학 공원
한밭 수목원,한 밭 수목 원
유성온천,유성 온천
#경기도
한반도 비무장 지대,한 반도 비 무장 지대
용인대장금파크,용인 대장금 파크
아침고요수목원,아침 고요 수목 원
수원 화성,수원 화성
한국민속촌,한국 민속 촌
조선왕릉,조선 왕릉
남한산성,남한 산 성
에버랜드,에버랜드
동구릉,동 구릉
판문점,판문점
#강원도
삼척 해양 레일바이크,삼척 해양 레일 바이크
환선굴과 대금굴,환선굴 과 대금 굴
박경리 문학공원,박경리 문학 공원
백마고지 위령비,백마 고지 위령 비
삼척 장미공원,삼 척 장미 공원
김삿갓 유적지,김삿갓 유적 지
